Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
1f8f4a94b76c31f92bb1ce5a62a2c3a0cb05874d,Fix package-infos.,['d818d2a2d97d2845a9da67c0f732f31140295e31'],False,"['package-info.java', 'package-info.java', 'package-info.java']"
1f28389d31a2ef50c8af1bbc68f8c14fe6ffefa1,"Break Extensions into QueryableDefaults and EnumerableDefaults. Add OpType and OpQueryable.

Move QueryProviderImpl.executeQuery(QueryableImpl) up to become QueryProvider.executeQuery(Queryable).",['32e6e8a60729dcf6b7509b8d5a74b44a51ae2af1'],False,"['misc.xml', 'BaseQueryable.java', 'DefaultEnumerable.java', 'DefaultQueryable.java', 'Enumerable.java', 'EnumerableDefaults.java', 'EnumerableOrderedQueryable.java', 'EnumerableQueryable.java', 'ExtendedEnumerable.java', 'Extensions.java', 'Linq4j.java', 'LookupImpl.java', 'OpType.java', 'QueryProvider.java', 'QueryProviderImpl.java', 'QueryableDefaults.java', 'Types.java', 'Linq4jTest.java']"
4099d2b7dda180fc1195a51d5ae907b0fab9aa57,"Driver passes on other databases' URLs, per JDBC spec. (Fix from Chris Wensel.)",['863300f8a8f625ae8032f6aeeaffeef74a00625b'],False,['UnregisteredDriver.java']
e4fc049a786da95cf0c52741e77df296d9217003,Code generation fixes: empty anonymous class; type variable return type when generating a lambda.,['f001ce219f9952c9788f50232d548c9d53fc6906'],False,"['Expressions.java', 'FunctionExpression.java']"
c4e99f5d64e6b2cec917b92c6fa441c13a11d167,Changes for the Splunk adapter (optiq-splunk).,['836e041f035bc8d9c8a3c394338378601492abab'],False,"['Maven__net_sf_opencsv_opencsv_2_3.xml', 'NOTICE', 'optiq.iml', 'pom.xml']"
4d009ecbbb73946f63f33fc4b242c27b019edb14,"Remove addUnadvertisedFields method: this is now done by RelFieldTrimmer.
Disable field-trimming until we fix tests.",['448b179fcc9404f700717121a339aff37d3ef215'],False,['OptiqPrepareImpl.java']
f7acf9ef63083f84ddfdb4dac0eecdf6b68632c8,Break out JavaRecordType and JavaTypeFactoryImpl as top-level classes. They are subject to change -- that's why they were private. Fixes https://github.com/julianhyde/optiq/pull/1.,['4076aa4247dba71ea88e92198a0a28876735f136'],False,"['JavaRecordType.java', 'JavaTypeFactoryImpl.java', 'OptiqConnectionImpl.java']"
6e958ed6fbf8a6bf4552ec0e7d0babafa891c1f8,Fix a couple of type parameters.,['e9f785c1426fa298d1eb85c2ec45e062535cd615'],False,['QueryableRelBuilder.java']
f3f5c360dc087607a8c03b688dcc4756afea6d10,Fix type parameters for EqualityComparer parameters.,['01dc61bcddd95f328fd5ceac4aead4663417c75b'],False,"['QueryableFactory.java', 'QueryableRecorder.java']"
06a67b799ee1584b8876731e931ff621ced3d6e9,"Add groupBy method to Enumerable that populates an accumulator, rather than building an expensive list of all records in the group. It is similar to Enumerable.aggregate, except that it supports keys. Also a similar groupBy method that has an additional EqualityComparer parameter.

Add an enum Primitive to make it easier to manage primitive classes (e.g. int) and their boxing classes (e.g. Integer). Fix how constants are generated, and how say Long is converted to Integer.",['c0f3b4a7443737373430ec0a9b0b98d8baa2211d'],False,"['DefaultEnumerable.java', 'EnumerableDefaults.java', 'ExtendedEnumerable.java', 'Linq4j.java', 'BinaryExpression.java', 'ConstantExpression.java', 'Expressions.java', 'FunctionExpression.java', 'Primitive.java', 'Types.java', 'ExpressionTest.java', 'Linq4jTest.java']"
a18bd7d61d3d8fed6da419125be5036d51ed4bb6,Fix for JDK 1.6.,['56c6c0b4c48e31768dd5adc81f922173464b6727'],False,['OptiqConnection.java']
39284afe64c4f7cfe0275e0342f6c00c352596d4,"Convert some RelDataType[] to List<RelDataType> for easier functional programming.

Fix some tests in SqlToRelConverterTest. All now pass.

Add Pair.zip(Iterator,Iterator).",['aa2499ecf1ce6592ba62e67d0cccf07978484dba'],False,"['SetOpRel.java', 'RelOptUtil.java', 'RelDataTypeFactory.java', 'RelDataTypeFactoryImpl.java', 'ExplicitOperatorBinding.java', 'SqlOperator.java', 'SqlOperatorBinding.java', 'SqlBetweenOperator.java', 'SqlCaseOperator.java', 'SqlInOperator.java', 'SqlLiteralChainOperator.java', 'SqlMultisetQueryConstructor.java', 'SqlMultisetValueConstructor.java', 'SqlRowOperator.java', 'MultisetOperandTypeChecker.java', 'SetopOperandTypeChecker.java', 'SqlTypeFactoryImpl.java', 'SqlTypeStrategies.java', 'SqlTypeUtil.java', 'SqlValidatorImpl.java', 'SqlToRelConverter.java', 'StandardConvertletTable.java', 'CompositeList.java', 'Pair.java', 'OptiqAssert.java', 'DiffRepository.java', 'SqlToRelConverterTest.ref.xml']"
b2ed7dbae285f26939e7817f23c5458777f8248e,"Implement DatabaseMetaData methods needed by Mondrian, including getTables and getColumns. Meta is a helper class that can be extended to implement other metadata methods such as getSchemas.

This is a breaking change, because it adds two methods to the Schema API: getTableNames and getSubSchemaNames.",['39284afe64c4f7cfe0275e0342f6c00c352596d4'],False,"['Schema.java', 'DelegatingSchema.java', 'MapSchema.java', 'JdbcSchema.java', 'Meta.java', 'OptiqConnectionImpl.java', 'OptiqDatabaseMetaData.java', 'JdbcFrontJdbcBackTest.java', 'JdbcTest.java']"
9eb960426e1965463d1e1da2be38bd64b87326d8,Implement IS NULL. Improve conversions. Fix off-by-one in OptiqResultSet.getDouble.,['7923b25205ed910b8ac12518fb3db22286249646'],False,"['OptiqResultSet.java', 'JavaRules.java', 'RexToLixTranslator.java', 'JdbcFrontLinqBackTest.java']"
814b67967ac25ce4dc230585fc621cf5a525ef21,Fix for JDK 1.6 (Connection.setSchema only exists in JDK 1.7).,['7c3251efc6a97cc7005d27353efcbe3ce6a339b2'],False,"['JdbcFrontLinqBackTest.java', 'JdbcTest.java', 'OptiqAssert.java']"
c678d862d177eec21b0ecc1ff8acf92512185315,Delete intellij workspace from git. It changes too often.,['814b67967ac25ce4dc230585fc621cf5a525ef21'],False,['workspace.xml']
af4bd9fc368318a930e4e6e1a0bb88555af71efe,Bit bugs.,['3840bddb9f313b74eaad43b32f5fd41359804ad4'],False,"['ArrayTable.java', 'ColumnLoader.java', 'ArrayTableTest.java']"
eb2f9fae8d73809ba79a53ab03f0d5a0eb862d0f,"ColumnLoader: fix issues with nulls, and add tests.

ResultSetMetaData: don't ask for precision of a String column.

Add class Ord, like Util.zip but each record has an index.

Implement VALUES operator. Add EnumerableValuesRel. Implements Values in Enumerable calling convention.

Fix translation to Java of BigDecimal literal.",['af4bd9fc368318a930e4e6e1a0bb88555af71efe'],False,"['ColumnLoader.java', 'Meta.java', 'OptiqPrepareImpl.java', 'JavaRules.java', 'RexToLixTranslator.java', 'ValuesRelBase.java', 'NestedLoopsJoinRule.java', 'RelDataTypeFactoryImpl.java', 'RexProgramBuilder.java', 'Ord.java', 'Pair.java', 'ArrayTableTest.java', 'JdbcTest.java']"
04816fe7a9a8ff367e2bdb6007f89158b6c2554e,Fix result for testCase.,['97c9eadd774cfa4e322ce253f4e9d317f9332d85'],False,"['jhyde.xml', 'JdbcFrontJdbcBackTest.java']"
e8d550847d82be4df3a8c65d458453a1dcf6c503,"Add PhysType, which allows Java relational expressions to have multiple ways of representing a row in Java. Currently a row can be an empty list (if there are 0 fields) a scalar (if there is 1 field), a synthetic class or an array of Objects (if there are more than 1 field). Of the last 2, the synthetic class is preferred, because it uses primitive values and therefore avoids boxing if the value is not nullable.

Also add ModifiableTable, which permits implementation of INSERT.

Remove mergeTraitsAndConvert method. (It was more verbose than the code inside it.)",['0704d8c31e98595ec0d43eb860a38fd3a09792c3'],False,"['BuiltinMethod.java', 'ModifiableTable.java', 'Table.java', 'TranslatableTable.java', 'ArrayTable.java', 'CloneSchema.java', 'ListTable.java', 'JavaTypeFactory.java', 'ReflectiveSchema.java', 'JdbcSchema.java', 'JdbcTable.java', 'JdbcUtils.java', 'JavaTypeFactoryImpl.java', 'Meta.java', 'OptiqPrepare.java', 'OptiqResultSet.java', 'OptiqPrepareImpl.java', 'QueryableRelBuilder.java', 'EnumerableConvention.java', 'EnumerableRel.java', 'EnumerableRelImplementor.java', 'JavaRowFormat.java', 'JavaRules.java', 'PhysType.java', 'PhysTypeImpl.java', 'RexToLixTranslator.java', 'RecordEnumeratorCursor.java', 'SqlFunctions.java', 'Typed.java', 'Utilities.java', 'IterRules.java', 'JavaRel.java', 'PreparedExecution.java', 'Convention.java', 'RelOptRule.java', 'RelOptTable.java', 'RelDataType.java', 'RelDataTypeField.java', 'RelRecordType.java', 'SqlToRelConverter.java', 'JdbcFrontJdbcBackLinqMiddleTest.java', 'JdbcFrontLinqBackTest.java', 'JdbcTest.java', 'VolcanoPlannerTest.java', 'VolcanoPlannerTraitTest.java', 'MockCatalogReader.java', 'SqlToRelTestBase.java']"
bbc77386139dbd184e2f7f92495f2add9bb53322,"RexToLixTranslator now takes a callback that determines how input records & fields are converted to expressions. It also takes a BlockBuilder, rather than a list of Statement, and the BlockBuilder takes more of the responsibility for assigning common expressions to variables. Move functionality from PhysType into JavaRowFormat.

Make UnregisteredDriver.JdbcVersion a bit more public.

Fix Utilities for JDK 1.6.",['e0929487321e566aa8ce879d2fc0754dccf1670c'],False,"['UnregisteredDriver.java', 'JavaRowFormat.java', 'JavaRules.java', 'PhysTypeImpl.java', 'RexToLixTranslator.java', 'Utilities.java']"
ad9d3e6485f27e1462a20a0df2fabdabb6870cff,"BlockBuilder now optimizes, eliminating common sub-expressions and avoiding declaring variables for expressions that are only used once.

Some changes to Visitor.

Optional modifier for ParameterExpression (used to make parameters of methods and constructors final, but currently ignored for variables and data members).

Add Ord class, to provide a iteration with ordinal.",['45bfa651c87478a9e5e323643774f6336869792f'],False,"['Ord.java', 'BlockBuilder.java', 'ConstantExpression.java', 'ConstructorDeclaration.java', 'DeclarationExpression.java', 'Expressions.java', 'FieldDeclaration.java', 'FunctionExpression.java', 'MethodDeclaration.java', 'ParameterExpression.java', 'Visitor.java', 'ExpressionTest.java']"
081a8f8e1d4a6e39b4ec639e8411c579d6cb928e,Fix SqlToRelConverterTest reference log.,['7731dea9f5ca638fb101edff3985b5e2e2651e6c'],False,['SqlToRelConverterTest.ref.xml']
92f7da95fb33743feb90261b99e4b79e2f63c6a9,"Add OptiqSqlOperatorTest (disabled, because 96 failures at present). Rename SqlOperatorTests to SqlOperatorBaseTest.",['081a8f8e1d4a6e39b4ec639e8411c579d6cb928e'],False,"['OptiqPrepareImpl.java', 'JavaRules.java', 'Bug.java', 'JdbcTest.java', 'OptiqAssert.java', 'OptiqSqlOperatorTest.java', 'SqlOperatorBaseTest.java', 'SqlOperatorTest.java', 'SqlValidatorTestCase.java']"
a48c9a6b45f60973e9c8373fbe393d5ec78d02f6,"Fix various type-conversion issues, in particular finding the GCD of types.",['b3f65c980254fbd0816778f7281e198b254baa19'],False,"['BlockBuilder.java', 'Expressions.java', 'Primitive.java', 'Types.java', 'Functions.java', 'TypeTest.java', 'ExpressionTest.java', 'PrimitiveTest.java']"
dedbfce3a74d94ebc1cd5797d3fd9d5f42cdbdc3,A few more SQL operators and fixes.,['ad7b5b963303b9fd13395660f35917d19d942f11'],False,"['RexImpTable.java', 'RexToLixTranslator.java', 'SqlFunctions.java']"
e272f43e2336770f0ed678beec993b94813dadbc,Trace generated Java code; fix typo.,['78349e96b9861e187a306d88b7b227a7762c3dfd'],False,"['OptiqPrepareImpl.java', 'RexBuilder.java']"
cffef7946a02b91684aefc2ac778210bd6bc1bd0,Fix bug counting number of records inserted; linq4j was incorrectly inlining a variable.,['e272f43e2336770f0ed678beec993b94813dadbc'],False,"['JavaRules.java', 'JdbcFrontLinqBackTest.java']"
5d5ef60e1930cf14e2930bd8b1639e61a26ed564,Make tests deterministic (fixes for JDK 1.8).,['97e9bc0d6d18b61aeb7e1ceb8fdd3c7a88009cb4'],False,['Linq4jTest.java']
8d20f716ce9443cb9c91c675428af9c75b7ee034,"When using VALUES inside INSERT, types of values are determined by the target column types. This prevents spurious trailing spaces when inserting character literals into VARCHAR columns.

Match API changes to Linq4j.getComponentType, and fix bug when generating arrays of synthetic objects.

Add SqlFunctionsTest.",['9ac312242313d166072496f05ddcea0e1e23a356'],False,"['LixToRelTranslator.java', 'EnumerableRelImplementor.java', 'JavaRules.java', 'RexToLixTranslator.java', 'SqlFunctions.java', 'SqlToRelConverter.java', 'OptiqAssert.java', 'SqlFunctionsTest.java']"
1e461cea40582c8d3287247daa68852218be9de7,"Re-format code. Indent is now 2, and arguments and parameters wrap. Only whitespace changes.",['2f4a6d81377ee2e96d6a54ee72be714550c523be'],False,"['BiBlock.java', 'BiMapper.java', 'BiPredicate.java', 'BiPredicates.java', 'BiValue.java', 'BinaryOperator.java', 'Block.java', 'Blocks.java', 'Combiner.java', 'Factory.java', 'FlatMapper.java', 'Mapper.java', 'Mappers.java', 'Predicate.java', 'Predicates.java', 'Sink.java', 'Iterables.java', 'MapStream.java', 'SequentialStreamOps.java', 'StatefulSink.java', 'Stream.java', 'AbstractEnumerable.java', 'AbstractEnumerable2.java', 'AbstractQueryable.java', 'BaseQueryable.java', 'CartesianProductEnumerator.java', 'DefaultEnumerable.java', 'DefaultQueryable.java', 'Enumerable.java', 'EnumerableDefaults.java', 'EnumerableOrderedQueryable.java', 'EnumerableQueryable.java', 'Enumerator.java', 'ExtendedEnumerable.java', 'ExtendedOrderedEnumerable.java', 'ExtendedOrderedQueryable.java', 'ExtendedQueryable.java', 'Extensions.java', 'Grouping.java', 'GroupingImpl.java', 'Linq4j.java', 'Lookup.java', 'LookupImpl.java', 'Notes.java', 'OpType.java', 'Ord.java', 'OrderedEnumerable.java', 'OrderedQueryable.java', 'QueryProvider.java', 'QueryProviderImpl.java', 'QueryableDefaults.java', 'QueryableFactory.java', 'QueryableRecorder.java', 'RawEnumerable.java', 'RawQueryable.java', 'AbstractNode.java', 'BinaryExpression.java', 'BlockBuilder.java', 'BlockExpression.java', 'Blocks.java', 'ClassDeclaration.java', 'ConditionalExpression.java', 'ConditionalStatement.java', 'ConstantExpression.java', 'ConstructorDeclaration.java', 'DeclarationExpression.java', 'DefaultExpression.java', 'DynamicExpression.java', 'Evaluator.java', 'Expression.java', 'ExpressionType.java', 'ExpressionVisitor.java', 'ExpressionWriter.java', 'Expressions.java', 'FieldDeclaration.java', 'FunctionExpression.java', 'GotoExpression.java', 'GotoExpressionKind.java', 'IndexExpression.java', 'InvocationExpression.java', 'LabelExpression.java', 'LabelTarget.java', 'LambdaExpression.java', 'ListInitExpression.java', 'LoopExpression.java', 'MemberDeclaration.java', 'MemberExpression.java', 'MemberInitExpression.java', 'MethodCallExpression.java', 'MethodDeclaration.java', 'NewArrayExpression.java', 'NewExpression.java', 'Node.java', 'ParameterExpression.java', 'Primitive.java', 'PseudoField.java', 'Statement.java', 'SwitchExpression.java', 'TernaryExpression.java', 'TryExpression.java', 'TypeBinaryExpression.java', 'Types.java', 'UnaryExpression.java', 'Visitor.java', 'WhileExpression.java', 'BigDecimalFunction1.java', 'DoubleFunction1.java', 'EqualityComparer.java', 'FloatFunction1.java', 'Function0.java', 'Function1.java', 'Function2.java', 'Functions.java', 'IntegerFunction1.java', 'LongFunction1.java', 'NullableBigDecimalFunction1.java', 'NullableDoubleFunction1.java', 'NullableFloatFunction1.java', 'NullableIntegerFunction1.java', 'NullableLongFunction1.java', 'Predicate1.java', 'Predicate2.java']"
567764fedc7305f3d9911d7f4f8c2729ed726947,"Re-format test code. Indent is now 2, and arguments and parameters wrap. Only whitespace changes.",['a699d7f18bc2d0dbc1367f20d8d81b356ff7f785'],False,"['TypeTest.java', 'ExpressionTest.java', 'Linq4jTest.java', 'PrimitiveTest.java']"
dc7d1b12aab6f530d8d2c5199f76677649ef86b1,Oops. Nasty equality bug.,['f75d9d267dacdb0b3b5d2ee3c1692d064a8a2a82'],False,['MethodCallExpression.java']
32cbc5b1f47bdd17e6433dd70d4cb5f49eed0ef3,Fix up formatting.,['dc7d1b12aab6f530d8d2c5199f76677649ef86b1'],False,"['BiPredicates.java', 'Mappers.java', 'Predicates.java', 'MapStream.java', 'Stream.java', 'EnumerableDefaults.java', 'Extensions.java', 'Linq4j.java', 'LookupImpl.java', 'BlockBuilder.java', 'ClassDeclaration.java', 'ConstructorDeclaration.java', 'DeclarationExpression.java', 'Evaluator.java', 'Expressions.java', 'MemberExpression.java', 'NewExpression.java', 'Primitive.java', 'Types.java', 'Visitor.java', 'Functions.java']"
ce782d607b958ffa5d904277977f813eb5552cb5,"Lots of fixes to expressions, especially CAST.",['be2105562e5c4bdb51a638dd5823fc80154d8e70'],False,"['OptiqResultSet.java', 'JavaRules.java', 'RexImpTable.java', 'RexToLixTranslator.java', 'AbstractCursor.java', 'Cursor.java', 'Spacer.java', 'SqlFunctions.java', 'RexBuilder.java', 'RexLiteral.java', 'JdbcTest.java', 'SqlOperatorBaseTest.java']"
67555f55bec3512caaaefa121d99931f6eae97ad,Infer type of NULL literals in INSERT ... VALUES (fixes [optiq-15]).,['ce782d607b958ffa5d904277977f813eb5552cb5'],False,"['RexToLixTranslator.java', 'TableConstructorNamespace.java', 'JdbcFrontLinqBackTest.java']"
7ac10a3c6c4812ba36d74015e2c613a4ca8b1152,Workaround JavaCC bug translating character literal '\\' (meaning backslash).,['204d70347c9af7d285084ec0e373125301d43474'],False,['CombinedParser.jj']
3aeef1852561eb2550b0dc59ee924f38ca60f626,Fix string precision issue.,['916a0ebf828ebab30f7f1830a8e6f71d3c20cd62'],False,['RexBuilder.java']
3f48c0a95e8768236a85442caaafd7b673875123,Fix formatting.,['cf477fd8ef9ee8374a972fb0cd93128cd903d950'],False,['BlockBuilder.java']
1d7305e4d5a61fd25f147a7bc09b95050e595943,"Fix issues relating to shorts: literals, and the fact that ""short + short"" has type int (yes, really!). Also fix cast from primitive to different boxed (e.g. int to Short).",['3f48c0a95e8768236a85442caaafd7b673875123'],False,"['ConstantExpression.java', 'Expressions.java', 'Primitive.java', 'Types.java', 'PrimitiveTest.java']"
f9d3983f4a205997eaae2bb2ed63fbc3616f5978,Fix SUM with short and BigDecimal.,['d547e1b38d4428855b02b84ebd762d1407062a03'],False,"['RexImpTable.java', 'JdbcTest.java']"
0f69892a76e0703470b1d26be92d4ca3134cfba8,"Fix IndexOutOfBoundsException when sub-query uses ""SELECT *"".",['89db7f91f489586fa8ed48926cd5328e00887f6c'],False,"['SelectNamespace.java', 'JdbcTest.java']"
d83bb95795e87e55b85787cf4f8deee645769e57,Fix for JDK 1.6.,['93171190af2dfb432aaa57182ac2faa60dda232b'],False,['SqlFunctionsTest.java']
470d6ee9a39c3aeac01c22534d76b327291d2b66,"Add method to copy an AggregateCall, changing only its name.",['bb8d3952941e85f69eeea700b2c84e93b248abc6'],False,['AggregateCall.java']
7cac28b15c558ddbbd7c98b5099584e1deb57682,"More null-semantics fixes.

The 'item' operator can now operate on an 'any' object. (Simulates dynamic typing, needed by Drill.)

Add ""enabled"" flag to SqlOperatorBaseTest (set to false by OptiqSqlOperatorTest) to mark out which tests (or parts of tests) currently pass.",['b5f04ee43025b6dd4091aabcb3cad51e41de5584'],False,"['jhyde.xml', 'BuiltinMethod.java', 'RexImpTable.java', 'RexToLixTranslator.java', 'SqlFunctions.java', 'RexLiteral.java', 'SqlItemOperator.java', 'OptiqAssert.java', 'OptiqSqlOperatorTest.java', 'SqlOperatorBaseTest.java', 'SqlOperatorTest.java']"
28fba54f6af9760e1e107641622d206b55f67ddb,Fix for JDK 1.6. (AutoCloseable does not exist until JDK 1.7.),['7cac28b15c558ddbbd7c98b5099584e1deb57682'],False,['Hook.java']
e9689a01d73f22bae32ab783b55a63127f5d5e1e,"Fix +, -, *, /, and prefix + and -.",['28fba54f6af9760e1e107641622d206b55f67ddb'],False,"['RexImpTable.java', 'AbstractCursor.java', 'RexLiteral.java', 'SqlOperatorBaseTest.java']"
8ae2c6000ccf2efcfedf305a82702862141df0f3,More null fixes. Add a check that all rows in a VALUES clause have the same number of columns.,['2d93602df311956504aaf80db94e5eddeb6fc175'],False,"['JavaTypeFactoryImpl.java', 'RexImpTable.java', 'RexToLixTranslator.java', 'SqlValidatorImpl.java', 'TableConstructorNamespace.java', 'JdbcFrontLinqBackTest.java', 'JdbcTest.java']"
c9f622dc00e583daf964e6cd3364e35302786a58,Fix two-argument lambdas that return a primitive.,['2a8075e18ca602427bece9a88be204e1269f0954'],False,"['FunctionExpression.java', 'Functions.java', 'ExpressionTest.java']"
b084f417ae5458181774dbe9184618d60b0e474c,Fix a couple of code-generation bugs.,['9965a29fff4ab17017efba97ab07011501de225d'],False,"['BuiltinMethod.java', 'PhysTypeImpl.java', 'SqlFunctions.java', 'RelSubset.java', 'JdbcFrontJdbcBackLinqMiddleTest.java']"
fd27aea64aafd2cc02d500bb47e6c3ef316a04ff,Fix sublist implementations of take and skip.,['c9f622dc00e583daf964e6cd3364e35302786a58'],False,"['Linq4j.java', 'Linq4jTest.java']"
132438ecf924aee064651b18cec71890a8b112bf,Remove a couple of null checks in SqlFunctions. Add tests for null semantics. Fix formatting.,['307e7c6d1608da92ad4744449f14291fe43ed5ed'],False,"['BuiltinMethod.java', 'RexImpTable.java', 'SqlFunctions.java', 'SqlFunctionsTest.java', 'SqlOperatorBaseTest.java']"
77ed0f2a0dc8e07bcdfc3bfc009e7ad620914e16,Oops. Fix some tests.,['924e982ea34e92d778e78d85b7b71d4aa95ac4ce'],False,"['JdbcFrontJdbcBackTest.java', 'JdbcTest.java', 'SqlFunctionsTest.java']"
a966968413e9a99df484e5fe8c2ca68acf67e5f4,Fix for JDK 1.6.,['0759b345cd7971cb279451d97691a4976ca8cb7a'],False,['SqlFunctionsTest.java']
